Id,SalePrice
2,56258.99555786
4,56800.61193909
6,66268.10531419
7,143821.97836288
17,241182.25266636
18,244791.18423688
22,232786.48808763
27,239865.06586415
31,249650.55746012
36,236295.73446386
39,68980.840504
40,235348.35492994
42,68090.82811263
46,227672.5920429
53,67062.20595148
58,138310.84664693
61,223187.63385229
72,238890.28361128
79,67711.21217551
80,241740.02246036
82,246068.76935013
83,237739.12462978
85,239500.5621746
88,66747.68540592
92,240544.38500573
93,233348.73729926
95,237073.25764924
102,65227.23736535
103,247249.8768174
106,139436.77602709
107,142210.6467942
110,236958.30532938
114,243998.32423099
116,235638.77017187
117,241868.14807513
118,144094.31969232
125,66631.2158263
126,137694.96444911
127,229228.48242182
128,146310.97682774
134,239768.7748146
135,67825.85702962
137,144030.77446984
143,238472.25533774
147,149331.97379472
148,237532.35293278
150,236064.19796818
156,64754.78919098
157,245484.39930424
159,245996.97870711
161,143876.59186506
167,246686.82111446
170,238346.34529976
171,65494.0215509
175,236347.32772031
179,239233.18821456
181,236651.71897595
186,143784.4627061
193,240487.8611688
194,236366.24588862
206,239925.80661516
208,238568.87506191
210,144423.16283069
211,235692.75384194
212,66197.41407525
214,244654.39688365
215,64241.8961555
217,147406.72351036
222,140210.67852833
227,235620.24937866
228,63225.0568072
233,243505.33529413
235,146776.44043471
238,143146.28980799
241,238666.99656762
252,243581.59516361
253,232755.67004898
256,66935.16082777
257,138313.49153018
258,70566.22135519
259,146868.1005263
261,245248.18237504
263,143395.91406488
266,64618.11298977
267,234187.73185063
270,244308.61145335
271,245031.78371728
276,243980.22682417
285,70169.34712074
288,238996.42342021
289,143664.33559147
290,141493.83797761
291,246255.62550837
292,239378.79587723
293,143080.14153605
294,145175.88037392
295,236946.72068636
304,150057.94985167
322,234933.85343853
326,240699.62278926
327,243302.43585957
328,234520.7285553
331,233363.35384494
332,242756.83413878
333,145492.03950433
335,142316.84602438
337,65915.92642767
342,248460.76910103
343,56931.73322296
347,236645.86856693
350,241306.21255674
352,241778.41010481
358,138458.25120679
359,66083.03712835
360,146819.0773813
368,74899.18950184
369,232118.88285553
373,144432.32662775
377,243495.26352175
383,246894.42422612
386,149469.15830993
387,68787.76783773
390,73258.94731276
391,144672.5923792
395,65515.9575057
397,239112.99758013
398,64890.02341455
401,143733.85446476
404,232820.74794038
408,242569.21754859
409,144575.99722782
410,235359.69827057
418,245236.79579676
422,247976.09820711
427,236509.94457578
431,251235.37418076
433,146359.69488315
437,239955.37621494
438,147406.81147952
442,142528.06720008
447,247149.42263649
459,246230.78584983
460,234628.90051174
464,237642.68820926
465,229277.24124157
467,225895.57709446
468,241012.7504398
474,245813.60008443
480,232195.38191059
481,243140.92001353
483,67324.05112538
488,145095.68111585
492,235028.95597192
494,65925.19370958
499,237515.08014443
500,234718.59676817
