Id,SalePrice
2658,144119.15267141
2718,165619.36535618
2414,173275.45094266
1989,114828.02482661
625,156950.21518446
333,96716.1729741
1327,109935.73461444
858,157189.22269929
95,196969.0985894
1568,159746.76717374
2482,159663.81390102
1364,122401.09117991
2584,152989.10760634
818,243948.50043878
2673,149347.52325102
2089,112487.72473947
1297,134440.70152543
790,118478.75015999
2616,175483.10148177
720,179367.31453788
222,131190.48499737
557,124410.19539725
1148,191058.80006385
2766,161800.81577753
534,185052.03189418
1452,133585.8956881
630,120959.98629818
2648,119553.03554875
125,141420.91887196
1904,74752.86156961
1670,115959.34487535
756,100506.61029541
717,223533.08714358
1032,149136.65800851
852,208790.25753957
1731,168610.5625871
2639,119667.00360503
2071,103464.83399984
1267,110827.28375288
1851,202658.18832088
567,157888.75352215
2439,193496.71821411
1898,143107.47607649
647,139996.38339459
2256,210090.88790074
979,97095.32564456
1444,202349.75376431
2485,122397.39864985
157,120019.25895187
88,118396.61308797
2003,111201.17235476
186,193669.31715459
1425,249538.08003605
2695,115053.57601922
738,104338.11934219
395,145898.47118898
1353,157981.89540967
1878,134830.07933028
390,169952.9716753
1456,219130.34508045
1103,353180.33620702
1387,121279.15534035
2070,131083.99608909
1199,183676.76580432
2479,161950.27804785
501,349384.47901017
2362,94995.26241217
1718,217054.76567453
2188,80428.90193779
1483,140703.78557121
2557,94563.48902556
437,376554.6958125
2224,193768.42866239
1628,159503.3875327
397,130150.27810088
587,199263.71395063
971,137374.27222708
2611,135772.52341867
1887,105660.56018869
2399,354236.94980351
2148,201113.43765496
304,115179.7248239
1997,118005.41714599
2817,114395.46476012
1431,182624.98845267
427,410737.62655725
263,134813.30572632
598,167995.05134194
2895,254681.64103568
687,149033.35888336
1822,122715.31304599
2191,111159.2225167
179,126883.62677293
1009,232024.58810466
2010,118068.44609626
1991,136977.37963423
1411,145903.57048929
1721,277406.97018819
1144,173893.81672947
593,202052.84830772
575,302588.28718224
1249,169380.1766154
1604,118966.4645211
1064,502162.07684049
1923,146025.16844723
1988,106743.08077986
2325,154526.68904082
114,202416.95385638
2700,177448.34650992
217,123564.04649251
343,162697.5388481
386,232045.99949796
2005,111582.76588801
2908,132051.86120536
1814,201298.33913918
2446,625479.04024056
208,128890.61302056
1679,113692.68684498
822,280187.03197228
6,174366.85247391
1781,365336.68621207
2397,298979.78790463
2340,317667.40175859
1618,164646.16837646
2843,129694.91220798
1061,388793.8876707
2786,133158.17220463
1935,123019.65092419
1341,113015.96815349
521,279052.89197678
2136,137155.55513104
996,170409.43929412
227,130919.40919183
135,147819.2968671
1167,168492.46706744
294,215103.59690742
1776,213934.15174559
540,173515.22184113
1717,217053.0881671
2303,123846.48269829
116,181694.24233179
127,122710.81617953
1371,123761.3723338
1014,173043.36214724
1507,103916.47263454
702,128932.36193475
750,151902.19123742
261,158911.62685899
1559,88445.45298469
577,251505.12856946
2812,196503.06018148
2080,146960.30897022
1368,117895.62865282
2376,112623.22829387
659,107485.63709694
1235,127762.26550103
332,85112.4802048
1917,130356.52084112
2094,227678.30442492
1460,261343.29648767
1471,191344.09799511
1509,116515.56168472
1922,126300.7501882
433,540699.21461472
460,283084.93759473
1116,250434.10537446
1137,162160.07362346
53,168351.81555853
2354,237738.96080854
1475,199022.59711669
1761,774864.96263541
842,141144.30164062
2739,158465.15459997
2509,163595.32174944
1007,187543.91968382
2610,165057.88573177
1952,94940.07467014
2719,163673.41835821
2921,93544.91396354
1966,130191.24309608
292,110735.94685943
1204,191565.950729
1829,271332.19825631
2419,170724.48414799
391,161798.21463278
798,117648.40143715
481,170081.89764765
193,175878.91510178
555,119420.17363726
899,84792.86584427
2357,179033.51322595
328,107050.00556306
1356,115865.95307188
1154,108898.45715101
1730,159402.80517947
2249,136970.72777984
1119,247108.59081121
2856,125890.96403729
1394,132590.44922642
2587,127980.89359137
61,380795.0034061
2661,174555.27330042
2711,131027.24521167
1147,170173.87669621
757,125135.68767943
2623,98637.71231471
2378,142053.00221716
1413,133958.7965787
1722,251788.94282506
1112,211508.72356565
1623,172336.21694336
1201,183084.04815054
1513,111321.69093868
957,566898.37895011
1171,243343.21628599
1145,182724.02108606
2726,253663.52301153
703,140272.13664994
760,88593.58356178
1964,126045.89815902
2512,178057.28984059
159,121231.92208162
1281,153916.09118021
468,160733.03645509
290,121095.72850652
665,113378.11916172
1463,262639.81966071
1792,223713.40565718
923,144874.6023337
500,308844.56690057
1408,144495.17758186
331,82414.08815924
170,113102.94526826
2192,97087.31269863
2571,266978.12617585
2314,157535.84338666
2647,105086.15669113
422,443740.78951371
2457,348542.12303562
1838,195907.08976796
2805,239062.54051648
1645,166120.13588394
1711,328711.80258071
2825,205693.08941231
322,324530.19239884
2103,254194.53112426
342,126169.27007467
600,114187.07473323
488,178036.81208948
1725,342681.61199404
2246,225918.16382037
2847,138655.77517922
806,220984.96524037
530,226046.57949297
963,190687.36203791
2678,93742.05971443
171,95756.5534482
2401,449776.31068457
805,197966.80740372
2259,234107.4847711
1748,158122.31935388
1361,131833.48866861
1677,115675.27508812
1406,132973.51770099
2322,208707.85448113
688,154856.59400597
143,137276.10410824
804,181538.04523587
1214,152151.28616244
2828,128734.98898328
1999,156094.65303587
2467,194745.21802731
2665,158024.86879868
1538,377258.50103044
398,114503.47017296
2822,125507.87858114
2157,140530.33387161
1856,204914.8361295
1269,105905.17307711
2570,119796.77161059
2320,219693.89266016
1517,144213.07537537
2304,117938.71583812
1312,101900.8434064
2012,128454.00103244
506,264582.64473623
2865,213991.5576483
2367,105916.00140916
554,113853.68127334
238,132240.59895559
1954,118633.68877527
2488,129471.11873156
2291,88623.78111654
1969,103558.82204682
2725,150507.09036381
1482,140703.78557121
2763,188432.40552171
503,262689.88612472
1584,221047.93746474
1531,149243.49367928
2210,165478.4884239
459,346829.54514263
556,126266.0254488
1347,144458.49917591
1290,91334.37729633
1388,102625.34489609
1571,357377.25524847
2754,192082.70273015
765,111825.77529719
2494,124239.48212493
2870,200313.39174366
7,252458.81945731
1114,232437.7214641
2418,251285.2605335
291,122343.52621656
18,335637.94631808
39,358752.43301807
1001,287509.95290598
2442,212919.96481306
616,111416.00219347
2680,82741.69004819
1414,126092.93983779
289,134307.71149059
40,302517.74944234
860,134550.67108024
409,133456.74066679
673,148274.40003579
2427,167901.69699632
2036,176327.17812077
2564,135534.63818777
642,153981.23249133
1008,170113.01337071
1908,132976.77787742
2519,182557.49071237
1369,105374.27362871
2855,168146.86251195
712,106099.28984975
1943,110896.58082798
1958,128313.92705878
107,150852.27587439
2295,189323.05627976
704,107444.3192399
676,127411.14025667
259,175205.99602125
93,317380.17679543
106,227316.85202312
2315,171406.54652406
1050,112414.37771246
1095,174202.55564153
2709,132364.34015985
758,137531.46546907
1496,142193.15347183
2370,122773.70026327
2458,245631.02799824
2733,122405.96021325
161,249082.60940025
726,143069.63153658
845,203654.18187505
947,223948.35609236
2232,114009.77717121
2563,144704.20195541
2299,147941.65518733
211,119265.33837234
605,163570.78303732
1478,197598.9239029
2247,227089.85140802
2274,214697.94902662
2869,190245.82302725
967,216249.10376857
2656,112136.39015868
667,198465.38805791
1042,110942.0376291
2023,152743.49293252
2447,411251.10886451
2055,118071.89704177
2275,272720.0612892
2204,165831.2639418
1563,225238.36649719
483,235097.12149862
796,117369.47760939
1526,164607.132077
2042,131007.94793723
442,359138.82323908
1693,342239.51229528
1468,199954.0800503
1430,194998.87968068
2605,140116.62230508
1529,183567.25052296
335,150225.98610001
1287,127963.47646968
31,102870.69609105
1785,250729.07685012
82,161733.22484106
2620,133616.64152744
252,194804.2559714
721,77304.25723355
2165,175485.57427977
2316,160564.37389214
775,119325.80942967
1558,108889.60222502
17,205137.08653876
1022,223417.50436477
925,129299.80921562
438,323791.14902709
1270,139467.02630928
1272,118851.36155121
215,123811.02452303
266,210962.56949189
2402,288574.77062165
1250,134966.49679389
1984,120135.85933387
1279,139653.39155293
377,256234.84158001
1252,120056.90925057
2156,240257.35343921
499,340053.80649295
1374,122382.46329412
2898,264250.18897849
401,116192.87139216
2721,152707.10974995
2078,256031.01600976
2589,125672.38756807
1946,223599.44222685
1334,124957.50041871
2781,227069.29865567
431,423715.81596687
576,182123.42425055
1474,192613.25297585
2254,157915.87055605
2155,263624.94246156
885,100628.00751894
643,136021.23869116
1944,125116.67901152
480,178358.91712474
2845,108892.96519078
2387,343231.28395078
2407,234413.59030122
2527,166106.25080899
2514,159186.08357862
629,152552.66387327
80,199618.2187081
1876,130918.94737092
1546,119787.12392392
2518,190325.83301281
2347,158515.57950885
783,200447.68615275
1322,78181.29724926
194,95715.60344675
1770,317693.82752924
2143,132269.73728495
1229,177499.44213237
511,269680.19758475
46,234703.4335457
1348,139131.70609039
2465,192925.11565137
387,225550.90475862
873,195782.83580761
1918,120366.1473127
2764,208332.29680992
2184,120436.00566772
934,130919.86396934
1920,123726.56305834
2631,134208.52839231
1768,794191.12264602
2040,114085.76439298
1749,195802.92874059
834,223885.79945449
1457,232690.65094266
79,123884.21189207
2302,122117.03579224
1817,137475.00765222
2755,233981.07393413
359,155891.37754274
2059,111527.9911388
2092,220398.74739987
2516,235126.70746772
150,125340.30256793
1656,150071.57050809
83,120867.24140434
2411,168488.79207739
795,84598.22034516
2312,221649.18248937
2917,90832.80436794
1624,168175.8903164
2215,290129.13704
1211,140843.41573637
1485,140710.31032167
1024,160251.25954872
570,179619.43058628
2874,130356.48931279
700,130076.05987774
2756,211608.43615232
2022,176544.55394788
583,212075.0804358
2392,353077.41991906
2424,185293.35161564
212,114442.69504964
736,124903.32562553
1610,156359.82712648
890,121445.08924865
467,159599.61332852
578,258970.10105549
1747,165061.71797978
1149,160745.98256481
2758,223865.789188
857,138293.14486939
2219,268057.85901699
733,115320.24090499
2909,107364.68043538
1798,264750.40235777
235,116602.96205032
2366,122435.92464748
1027,142223.84391104
1195,129244.35994009
1303,70400.63287805
148,159441.15222721
608,141328.48500862
2515,185500.77795614
821,251812.04948802
2500,313725.72352394
745,110713.55878214
741,136701.13962842
1611,127232.05611798
2532,120055.32199575
1081,199701.85861672
1692,467947.80827951
2520,168013.17734182
276,103006.44964281
1992,126208.45173455
663,68652.71003537
418,130897.66605588
1733,166965.42546622
2359,155797.42205526
253,186303.91359888
1518,151679.63868324
2035,129964.21285507
2919,87649.5334723
1540,231223.58917393
2120,154246.53877371
1674,157445.22270037
256,165657.95017432
2361,104911.96742801
978,82368.52502379
2280,136679.52283268
2095,206366.90860627
1709,347437.99401117
2801,228965.90519835
1246,111822.83565254
2373,106162.88799819
1055,308538.84568544
2017,118587.93635546
1099,289893.27556036
1344,93129.02044193
835,206572.37250104
1117,212385.76811898
2043,97759.94370983
2085,120274.81204276
410,143397.74878043
2650,125116.47322496
2867,173954.684541
1668,116798.96404494
1161,173199.0561265
2122,168547.43418452
2539,141381.79956557
1047,139445.84259064
1445,133982.62461672
541,133020.37812445
569,217757.94937982
1276,125977.74052263
918,149578.72264944
326,162024.64332371
1936,123146.95067625
895,100674.99841586
257,142678.18428419
1241,169122.56421517
1545,115893.23889085
1189,173588.01312424
270,140703.78557121
2066,173471.82829202
693,110648.82580947
1259,155485.14702885
2916,141531.48350991
2321,262770.01466115
1977,104849.84761358
1895,144278.26452604
1240,149614.24589221
85,141393.77234406
1823,118785.19648902
825,256214.32776166
110,214951.60247127
697,120556.01066971
2297,111851.69754707
1231,133506.68397988
1355,123084.97629977
968,303780.61103001
584,217381.90978626
1315,118371.00388289
1606,140386.82402051
206,107234.01263874
1685,350109.12488024
2016,126721.87688122
869,207307.38886353
2135,132596.30929973
2346,169278.55533008
2430,201712.39097848
2198,112560.06697996
2652,124013.13368413
27,111345.01977892
241,148892.01932125
906,111627.91768002
1506,105442.11580834
2098,336565.55643811
1435,197615.14200648
2213,125863.6651258
1274,140882.17086378
743,67760.30677678
1737,181783.96804627
2797,249895.12346411
2185,76325.41867866
58,157606.06550658
830,186949.80780876
808,121454.466027
680,141790.20479386
1153,112372.82810458
1291,128370.38390775
1818,145852.36567977
2161,179262.8356741
1883,125736.6633068
350,399724.71664262
2473,143687.94875895
295,170869.00921447
293,180970.5583092
859,133413.46050115
288,81703.44207001
1578,147965.46082642
102,167939.74608877
2831,152314.31424219
1030,175111.58790595
2551,139345.89667156
1286,137242.70203824
958,284019.24128744
776,122404.32112819
72,198678.90183093
2263,248563.78400171
1866,151073.0610031
2876,86065.47883515
2146,253642.04661974
103,174979.27682925
1500,128734.98898328
492,181050.31524381
167,135672.44893088
2597,110765.58175648
2685,112912.43642556
1035,149222.20670134
1220,81634.09213443
2602,143720.36549324
2159,197906.63024978
695,130179.75647429
1109,269064.01154387
640,173577.46174726
1652,155317.15098103
2090,192232.89718745
